title,description,url,publishedAt,source
NASCAR Legend Dale Earnhardt's Widow Battles His Son Over $30 Billion Data Center Plan on His Former N.C. Land — 'Dad Would Be Livid',"When Dale Earnhardt, the NASCAR champion known as ""The Intimidator,"" died in a crash during the 2001 Daytona 500, the sport lost more than a driver—it lost a...",https://finance.yahoo.com/news/nascar-legend-dale-earnhardts-widow-223113472.html,2025-08-11T22:31:13Z,Yahoo Entertainment
"UPS closing operations in Texas, North Carolina as downsizing spreads","UPS is closing a shift in Texas and a facility in North Carolina as part of network reconfiguration, which will cost dozens of workers their jobs. The post...",https://finance.yahoo.com/news/ups-closing-operations-texas-north-162149398.html,2025-08-11T16:21:49Z,Yahoo Entertainment
Amazon tops 100 satellites after weather-delayed Kuiper launch,"A SpaceX-owned Falcon 9 rocket carried 24 more Kuiper satellites into low-earth orbit, bringing Amazon's constellation to 102 satellites.",https://www.cnbc.com/2025/08/11/amazon-kuiper-internet-satellites-launch.html,2025-08-11T14:46:51Z,CNBC
"Ford's new line of affordable vehicles to start at about $30,000","DETROIT (Reuters) -Ford plans to start rolling out its new family of affordable electric vehicles in 2027, including a midsize pickup truck with a target...",https://uk.finance.yahoo.com/news/fords-line-affordable-vehicles-start-143643685.html,2025-08-11T14:36:43Z,Yahoo Entertainment
"Ford's new line of affordable vehicles to start at about $30,000","DETROIT (Reuters) -Ford plans to start rolling out its new family of affordable electric vehicles in 2027, including a midsize pickup truck with a target...",https://finance.yahoo.com/news/fords-line-affordable-vehicles-start-143643611.html,2025-08-11T14:36:43Z,Yahoo Entertainment
The Trade Desk (TTD) Announces Financial Results for Q2 2025,"The Trade Desk, Inc. (NASDAQ:TTD) is one of the Best Cloud Computing Stocks to Invest in Now. The company announced financial results for Q2 2025, with...",https://finance.yahoo.com/news/trade-desk-ttd-announces-financial-120027401.html,2025-08-11T12:00:27Z,Yahoo Entertainment
"Amazon.com, Inc. (NASDAQ:AMZN): GitLab Announces That It Signed a 3-year SCA with AWS","Amazon.com, Inc. (NASDAQ:AMZN) is one of the Best Cloud Computing Stocks to Invest in Now. On August 6, GitLab Inc. announced that it has signed a 3-year...",https://finance.yahoo.com/news/amazon-com-inc-nasdaq-amzn-120014765.html,2025-08-11T12:00:14Z,Yahoo Entertainment
"Earnings live: Monday.com stock tanks, AMC set to report as Q2 earnings season starts winding down","The gush of second quarter earnings reports is beginning to slow to a trickle, and with most of the reports in, the results have been mostly positive.",https://finance.yahoo.com/news/live/earnings-live-mondaycom-stock-tanks-amc-set-to-report-as-q2-earnings-season-starts-winding-down-113339564.html,2025-08-11T11:33:39Z,Yahoo Entertainment
The Trade Desk Crashes 39% in a Day as Amazon Looms Large,Wall Street downgrades pile up after weak results--and Amazon's growing ad power sparks a brutal selloff.,https://finance.yahoo.com/news/trade-desk-crashes-39-day-113130003.html,2025-08-11T11:31:30Z,Yahoo Entertainment
India calls for boycott of American goods over Trump tariffs,"STORY: From McDonald’s and Coca-Cola, to Apple and Amazon – giant U.S. brands are facing calls for a boycott in India. It’s a protest against Trump’s 50...",https://finance.yahoo.com/video/india-calls-boycott-american-goods-105031614.html,2025-08-11T10:50:31Z,Yahoo Entertainment
